model_name,feature_set,seq_len,trial,pr_auc,precision@5,precision@10,precision@15,precision@20,precision@25,precision@30
rnn,dxtx,8,6,0.38483072674460767,0.32051111111111114,0.19916084656084657,0.16236546416546416,0.15396393337771044,0.15214444281995904,0.1518766350551398
rnn,dx,8,6,0.36819372699698577,0.3566888888888889,0.21844391534391533,0.1772865615865616,0.16799699616975158,0.16588511587613217,0.1655240823757883
brnn,dxtx,8,6,0.41579845378484714,0.2989555555555556,0.18015079365079364,0.14528596958596957,0.13745690181851172,0.13572285451316007,0.13544045985375391
brnn,dx,8,6,0.3816231330499732,0.3046888888888889,0.18302063492063492,0.14864392274392277,0.14107452129913428,0.13943201549575893,0.13918819904826432
retain,dxtx,8,6,0.34894764965395014,0.4165333333333333,0.27175343915343914,0.22286985606985607,0.21067191432005675,0.20805416540230778,0.20766084226737544
retain,dx,8,6,0.3516219401545806,0.40786666666666666,0.26640211640211636,0.21886478706478707,0.20672155807728562,0.20402571266665762,0.20368171891668688
deepr,dxtx,8,6,0.3688986722030496,0.46071111111111107,0.30944391534391535,0.2578230325230325,0.24405359667851928,0.2408420689791655,0.2404518951853135
deepr,dx,8,6,0.35647264567025383,0.43186666666666673,0.29048783068783074,0.23982580382580385,0.2260861925426941,0.22325044375042352,0.22294476427876705
bitenet,dxtx,8,7,0.305738418126825,0.33964444444444447,0.2203835978835979,0.17666955636955636,0.1660102799104347,0.16346501107299197,0.16299126802591554
bitenet,dx,8,7,0.34072089978702585,0.35,0.22595873015873016,0.18097138417138414,0.1697844847332463,0.16705774905346718,0.16652290710529188
rnn,dxtx,8,7,0.350347530369863,0.3114222222222222,0.19180899470899473,0.15471018241018242,0.14535186341006773,0.1431348058782276,0.14267281700290538
rnn,dx,8,7,0.38033318635615887,0.3359777777777778,0.20672063492063494,0.1660073926073926,0.15604047367607737,0.15373285086410676,0.15322817578609835
brnn,dxtx,8,7,0.37209107432141103,0.3194444444444445,0.20047037037037038,0.16076838346838346,0.15077993604262954,0.1483429537978212,0.14783007359160766
brnn,dx,8,7,0.3671421835444304,0.34071111111111113,0.2107201058201058,0.17079438709438707,0.16074633067883842,0.1582753362626266,0.15781163798559497
retain,dxtx,8,7,0.3214258376592639,0.4122666666666667,0.26942063492063495,0.22107986457986456,0.2080742287582845,0.2049634213048683,0.20432063742208448
retain,dx,8,7,0.3375854485172105,0.3999555555555556,0.2638169312169312,0.21538407518407518,0.20256962729965824,0.19938908523302923,0.19870424464152195
deepr,dxtx,8,7,0.3536021060946822,0.441088888888889,0.2935005291005291,0.24249150479150477,0.22865506297394844,0.22537390480844244,0.2245869396748106
deepr,dx,8,7,0.3686025618782687,0.43311111111111117,0.2840195767195767,0.23606514226514227,0.22321790129948021,0.21969199879618642,0.2188252344494221
bitenet,dxtx,8,8,0.34196125700068364,0.2879333333333333,0.17754814814814818,0.14079285899285898,0.13146080991591827,0.12934087892903076,0.1289235755172446
bitenet,dx,8,8,0.2883772605470821,0.3506666666666667,0.22655449735449737,0.18125957005957005,0.16963342626872038,0.16702339929086732,0.1665263043381402
rnn,dxtx,8,8,0.3135676975040014,0.2908888888888889,0.17504973544973546,0.1380864986864987,0.12848914173202097,0.12642210490411457,0.1260530242104362
rnn,dx,8,8,0.33219387774026,0.31431111111111115,0.1902962962962963,0.15193226033226032,0.1422843013825986,0.14022883240712963,0.13985497848752856
brnn,dxtx,8,8,0.3327588859518379,0.2956888888888889,0.17345820105820106,0.1381797683797684,0.1295600573374567,0.1276586256290685,0.12728893621248252
brnn,dx,8,8,0.33646944663036205,0.3238888888888889,0.19751798941798945,0.15818083768083768,0.14822152108870376,0.1458946197774546,0.1454328180287563
retain,dxtx,8,8,0.32454088440460205,0.40117777777777774,0.26811904761904765,0.2184109779109779,0.20504564710029108,0.20199233298496325,0.20131345518332683
retain,dx,8,8,0.33624689703581856,0.38664444444444446,0.2552957671957672,0.20554325304325305,0.19110508919471764,0.1876454731585799,0.18690693190417657
deepr,dxtx,8,8,0.3438768597799271,0.4200666666666667,0.27532910052910053,0.22488383468383472,0.2108010230796609,0.20775934166928375,0.20717799257988873
deepr,dx,8,8,0.2872882111159888,0.4341777777777778,0.2881047619047619,0.2353025419025419,0.22055032444335848,0.21735437614045364,0.21676917608720767
bitenet,dxtx,8,9,0.361843413041573,0.36888888888888893,0.23320000000000005,0.18758164058164056,0.1766548546625946,0.17432659191085356,0.17387326007453324
bitenet,dx,8,9,0.30780663148592435,0.3494888888888889,0.2210058201058201,0.17767594997595,0.16723463017317508,0.1648863134657279,0.16439078382720979
rnn,dxtx,8,9,0.3733965423959381,0.3229111111111111,0.20236137566137571,0.1634193177193177,0.15398788210413597,0.15180584558992555,0.1515872457648889
